Catégorie;Projet;Vote positif;Vote négatif;Description
Art, Culture, Patrimoine, Tourisme;775 - Créer le Musée Simenon;84;15;Construire - enfin ! - un musée Simenon, sur la place de l'Yser (là où se trouvait l'ancien théâtre), c'est-à-dire non loin de l'endroit où Georges a grandi. L'endroit serait également idéal comme point de départ d'une balade ayant Georges comme thème (Saint-Pholien n'est pas loin, entre autres)
La mobilité;795 - Clôture du ring de Liège (liaison Cerexhe-Heuseux - Beaufays);64;119;La clôture du ring de Liège est vitale pour la qualité de vie des liégeois (réduction du trafic, amélioration de la qualité de l'air). Tout le trafic de transit doit être reporté en dehors de la ville.  La liaison sous Cointe est saturée et en cas de problème, le trafic s'engoufre dans le centre ville. La finalisation du ring doit être réalisée au plus vite. Cette finalisation du ring est complémentaire au tram.
La mobilité;802 - Mobilité sécurité piétons,vélos, voitures ,PMR+ pollution sonore,vibrations  et particules fines;56;5;"Etant chacun à notre tour soit piéton, soit cycliste, soit automobiliste, soit personne à mobilité réduite encourager les citoyens à se respecter l'un l'autre ( éducation citoyenne)et prévoir structurellement des voies de circulation pour chaque type d'usager ( voir ex ville de Stockholm).
Mettre toute la ville a 30KM/H , y  compris les voies de pénétration aussi bien pour la sécurité que pour la pollution sonore, les vibrations et les particules fines.
Mettre des rues en sens unique quand les voiries sont trop étroites afin  que les voitures ne se garent plus sur les trottoirs. 
Faire des plans circulatoire pour apaiser les quartiers résidentiels et remettre de la vie dans les rues (jeux d'enfants et rencontre citoyenne).
Et aussi veiller à ce que l'aéroport de Bierset par ses extensions possibles et un survol de la ville ne vienne pas ajouter des nuisances sonores qui déjà maintenant nous obligent à dormir les fenêtres fermées ..."
Inclassables;839 - Les jeunes liégeois aux JO en aviron;28;2;Créer, après de nombreux entraînements super bons pour la santé des jeunes,  une compétition entre toutes les écoles secondaires et supérieures liégeoises, en aviron sur le plan d'eau de la Meuse et de la Dérivation. Une finale serait organisée, où toute la population liégeoise viendrait encourager ses jeunes gens et jeunes filles sur les quais et sur les ponts, notamment celui de la Belle Liégeoise et du Parc de la Boverie. Le but final serait de créer une  équipe liégeoise  d'excellence qui aurait pour objectif d'aller aux JO et d'y représenter dignement la Belgique en général et Liège en particulier.
La mobilité;841 - Des stations d’intermodalité train-tram-bus-auto-vélo;220;3;"Il s’agirait de développer et faire mieux connaître les stations d’intermodalité train-tram-bus-auto-vélo comme celle des Guillemins. Cela limiterait le trafic et le parcage automobiles dans le centre ville et dans les voieries d’accès comme les rues St Laurent, St Léonard….
Pour y accéder la digitalisation des Stations + le guidage doivent être renforcés par des grands panneaux à message déroulant électronique  pour indiquer aux motorisés les possibilités de choisir ou se garer.
Dans son plan communal de mobilité (PCM), la Ville a déjà projeté des parkings de délestage à Burenville, à la Citadelle, à Coronmeuse, Bressoux, Amercoeur et Les Vennes. Il faudrait les développer et en ajouter d’autres comme St-Laurent, Kinkempois ou  encore Fontainebleau… 
Il s’agirait aussi d’en faire de la publicité en soulignant leurs avantages et en dirigeant les usagers vers celles-ci. Dans des villes de même grandeur que Liège, de grands panneaux à message déroulant électronique indiquent aux automobilistes où se garer à l’entrée des villes pour prendre les transports publics menant au Centre. Pourquoi pas à Liège ?"
La mobilité;844 - Sécurité des piétons au terminal des bus place St Lambert;114;5;Je fréquente régulièrement le terminus des bus place saint Lambert et chaque fois je me demande si je ne vais pas me faire écraser. Il faudrait absolument créer un système de passages pour piétons (peut-être en utilisant la pierre-fontaine pour scinder le passage en deux) qui servirait  pour réguler le flot incessant des piétons qui se faufilent entre les bus.
La mobilité;867 -Co-éduquer tous les utilisateurs de la route (intermodalité);46;8;Liège se doit de promotionner à etre : piéton/PMR, cycliste, usager du Bus/Train. Cela doit passer par l'offre à l'éducation à l'Intermodalité active  sur le site web Ville de Liège
Des espaces verts, des espaces collectifs, des espaces apaisés;871 - Améliorer le plan d'eau du parc d'Avroy;140;1;"Faire fonctionner à nouveau la cascade du plan d'eau, simplent en mettant une pompe et en faisant couler l'eau dans la cascade existante.
Ca aérera l'eau et créera un mouvement d'eau dans le bassin, ce qui améliorera fortement le qualité de l'eau et empêchera la colonisation par des algues.
Pour 500 eur max (pompe) et trois heures de travail (mise en place), la qualité du bassin sera améliorée et le parc d'Avroy sera à nouveau beau et agréable."
Art, Culture, Patrimoine, Tourisme;898 - Reconstruire le choeur de la Cathédrale St Lambert (en toile ou autres matériaux);70;26;"Depuis LONGTEMPS, l'espace TIVOLI reste tristement VIDE, enlevant à la place du Marché une partie de son charme.
Beaucoup de liégeois se souviennent du choeur en toile construit en 2001.
Beaucoup de promesses ont été faites depuis, mais aucun projet n'a abouti à ce jour"
Art, Culture, Patrimoine, Tourisme;923-Un circuit  piéton pour visiter les points d’intérêt de Liège, suivez la ligne rouge !;152;3;"A l’instar de Boston avec son Freedom Trail, créer un parcours de découvertes à travers la ville matérialisé par un marquage au sol.  
Il n’y a plus qu’à se laisser guider par ses pieds, accessible à tous !
Des panneaux informatifs (certains déjà existants) pourraient compléter la visite. 
Et pourquoi pas plusieurs circuits ? 
Bleu, jaune, à pois, historique, architectural, underground, y’a qu’à marcher…"
La mobilité;924-Un téléphérique entre Saint-Léonard et la Citadelle;231;41;"Liège a besoin de solutions pour résoudre le problème de l’engorgement routier dans les rues entourant la Citadelle et pour favoriser les déplacements autour de Saint-Léonard, coincé entre la colline et la Meuse.

Il faut accepter le relief de la ville et s’orienter vers des solutions adaptées et éprouvées. Nombre de villes ont choisi le téléphérique (Londres, Grenoble, Barcelone, … et à New York, c’est même une partie prenante du réseau de transports en commun – voir photo d’illustration, de Wikipedia). 

Un téléphérique c'est  rapide, efficace. Celui-ci va relier deux quartiers de la ville qui sont proches sur la carte mais très éloignés en pratique tant pour les piétons, les cyclistes que les voitures (il faut actuellement longtemps pour passer de l’Esplanade Saint-Léonard à la Cita, même en voiture).

Le téléphérique évitera de devoir passer par le Cadran pour rejoindre les deux quartiers : il donnera un accès facile à la Cita et aux espaces verts l’entourant pour les habitants de Saint-Léonard et les usagers du tram ! L’intégration avec le tram devrait d’ailleurs être assez simple au vu des projets actuels. 

Un téléphérique, c’est visible, d’assez loin même. Mais est-ce réellement un problème ? Comme toute activité humaine, comme toutes les autres solutions à la problématique qui nous concerne, le téléphérique aura un impact sur son environnement. Mais il sera minime ! Il sera à peine plus visible qu’une ligne à haute tension, il ne requerra pas de raser un couloir d’arbres comme le nécessiterait un funiculaire. Par contre, il donnera un cachet à la Ville, une attraction touristique, des panoramas nouveaux sur la superbe vallée de la Meuse.

En plus d’être facile à installer et de prendre peu de place (tellement moins de travaux qu’un tram ou un funiculaire… ou un tunnel), le téléphérique est relativement silencieux : un petit ronronnement de fond, bien plus discret qu’un bus.

Cerise sur le gâteau, le téléphérique est électrique et propre : quand une cabine monte, une autre descend. Il ne faut donc que l’énergie pour monter les passagers. 

Pour résumé, il y a une petite phrase sur la page Wikipédia : « C'est un moyen de transport apprécié pour sa faculté à se soustraire des contraintes topographiques du terrain (liaison directe), ses coûts d'installation et de fonctionnement contenus et sa consommation mesurée. » https://fr.wikipedia.org/wiki/Telepherique

NB : Téléphérique ou télécabine, le choix de la solution technique n’est l’essentiel actuellement."
Des espaces verts, des espaces collectifs, des espaces apaisés;975 - Réouvrir la rue du Vallon;9;9;"La rue du Vallon, se prolongeant par la rue de la Belle Jardinière, est depuis quelques années fermée à la circulation.
De nombreux citoyens et citoyennes d'Angleur le regrettent, car cet accès est l'un des seuls qui permettent de rejoindre haut et bas d'Angleur sans passer par le ""noeud"" routier du pied de la route du Condroz, particulièrement engorgé même en dehors des heures de pointe.
Il s'agirait d'envisager toute possibilité de le ré-ouvrir à la circulation, tout en favorisant la mobilité douce (cyclistes, piétons) à cet endroit."
Des espaces verts, des espaces collectifs, des espaces apaisés;278 - Offrir des maisons abandonnées;88;7;Offrir des maisons abandonnées ou en ruine pour 1 euros symbolique à des asbl  dans la ville de Liège   .  Dans le but que l'asbl   rénove ou  transforme  ce bâtiment  dans cette ville . C'est de faire revivre les bâtiments abandonnées et faire revivre les quartiers aussi .
La végétalisation et l'agriculture urbaine;288 - Zone naturelle à préserver au Bois de Naimette Xhovémont;103;2;"Donner un statut se zone naturelle à préserver au Bois de Naimette Xhovémont

Ce bois est, en partie,  situé sur le site de l'ancien charbonnage de Bonne Fin, dans le quartier Naimette-Xhovémont et présente une faune et une flore intéressante à préserver. Véritable poumon du quartier , relié au parc de Xhovémont, il mériterait d'être protégé , sous la forme d'un statut (Natura 2000. ou Natagora ,...)

En effet, il possède des essence d'arbres , d’intérêt,  Une flore particulière et une faune qui l'est tout autant à proximité du centre de Liège.
De nombreux oiseaux  (dont des pics et rapaces,...)en ont fait leur habitat de prédilection et une faune  constituée notamment de renards, fouines, blaireaux, écureuils, grenouilles, campagnols, pipistrelles ... font parties de cet écosystème.  

Pourquoi ne pas le lier complétement au quartier, via un statut de protection de la nature?  ( Zone de fauchage tardif - protection du site , se sa flore et de sa faune-  signalisation adéquate).

Ce serait un atout pour le quartier et inévitablement pour Liège de multiplier ce genre de site naturel remarquable."
